Date : 2021-07-12 15:08:34
Directory : /media/michael/Data/Data/Programming/TI/Projects/Main/VYSION_2
Total : 130 files,  3896 codes, 772 comments, 547 blanks, all 5215 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C        |         61 |      2,551 |        533 |        193 |      3,277 |
| C++      |         65 |      1,270 |        228 |        337 |      1,835 |
| YAML     |          2 |         62 |          0 |          7 |         69 |
| Makefile |          1 |         11 |         11 |          9 |         31 |
| Markdown |          1 |          2 |          0 |          1 |          3 |
+----------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                    | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                       |        130 |      3,896 |        772 |        547 |      5,215 |
| src                                                                                                     |        128 |      3,883 |        761 |        537 |      5,181 |
| src/optix                                                                                               |         59 |      2,252 |        515 |        268 |      3,035 |
| src/optix/elements                                                                                      |         22 |      1,003 |        263 |        104 |      1,370 |
| src/optix/gfx                                                                                           |         20 |        275 |          0 |         62 |        337 |
| src/vysion                                                                                              |         67 |      1,566 |        231 |        257 |      2,054 |
| src/vysion/elements                                                                                     |          4 |        261 |         41 |         32 |        334 |
| src/vysion/gfx                                                                                          |         50 |        754 |          0 |        153 |        907 |
| src/vysion/gfx/input                                                                                    |          1 |         40 |          0 |          4 |         44 |
| src/vysion/gfx/output                                                                                   |         49 |        714 |          0 |        149 |        863 |
+---------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                                | language | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| /media/michael/Data/Data/Programming/TI/Projects/Main/VYSION_2/README.md                                | Markdown |          2 |          0 |          1 |          3 |
| /media/michael/Data/Data/Programming/TI/Projects/Main/VYSION_2/makefile                                 | Makefile |         11 |         11 |          9 |         31 |
